lon,lat
22.9381013,40.6333319
22.9386181,40.6338178
22.938944,40.6341243
22.9408421,40.6359246
22.9424061,40.6375008
22.9426815,40.6378276
22.9432038,40.6385045
22.9435786,40.6389583
22.9439459,40.6394058
22.9373194,40.6337841
22.9380954,40.6346118
22.9389488,40.6355194
22.9394622,40.6360597
22.9398422,40.6364623
22.9405361,40.6371819
22.9414086,40.6381119
22.9416918,40.6383966
22.936915,40.6396173
22.9426826,40.6394382
22.943106,40.6398411
22.952689,40.6044094
22.9532538,40.602481
22.9533614,40.6020899
22.953262,40.6068608
22.9532944,40.6069797
22.9533545,40.6079085
22.9584412,40.6184277
22.9319025,40.6386028
22.9323668,40.6382008
22.9339096,40.6369889
22.9341165,40.6367856
22.9346677,40.6360911
22.9359796,40.6346407
22.936508,40.6342688
22.9368022,40.6340763
22.9391109,40.6327472
22.939672,40.6324223
22.9413432,40.6314588
22.941868,40.631144
22.9429258,40.6304921
22.9438433,40.6298506
22.9449425,40.6290943
22.9454912,40.6287174
22.9461715,40.6282563
22.9464056,40.6280924
22.9473768,40.6274251
22.948827,40.6264114
22.962553,40.6092581
22.9618922,40.6108443
22.9616012,40.6113779
22.9601776,40.6145558
22.9598048,40.6153807
22.9587497,40.6173874
22.9522506,40.6236556
22.9522867,40.6232516
22.9521696,40.6229483
22.9519431,40.6224819
22.952024,40.6218981
22.9524364,40.6207309
22.9525877,40.6203205
22.9528883,40.619522
22.9531383,40.6185922
22.953054,40.6176189
22.9528676,40.6166084
22.9518554,40.6110102
22.9514196,40.6084975
22.9706448,40.5872698
22.9661719,40.5914131
22.9654384,40.5928388
22.9642433,40.6024248
22.9637597,40.6075841
22.9631086,40.6145015
22.9896292,40.6139392
22.9877932,40.614381
22.987029,40.6146525
22.9799569,40.6250773
22.9352716,40.6403167
22.958935,40.6134928
22.9591006,40.6134982
22.960423,40.614008
22.9541153,40.6143472
22.9241699,40.6370353
22.9348075,40.6313792
22.9015107,40.6425829
22.9505314,40.6104629
22.9012532,40.6433384
22.9220469,40.6370439
22.9286277,40.6368587
22.9485235,40.5969268
22.9271083,40.6349663
22.9154259,40.638427
22.9060516,40.6378896
22.9482348,40.5940101
22.9168703,40.6352812
22.9255325,40.6352248
22.9512246,40.6226605
22.9360132,40.6323827
22.9303081,40.6341953
22.9486232,40.598803
22.904565,40.6387119
22.9476797,40.5933114
22.9321508,40.6357128
22.9133472,40.6389358
22.9513586,40.6217688
22.9050001,40.6382448
22.9478142,40.5925794
22.9190596,40.6347419
22.9356015,40.6332656
22.9023313,40.6432536
22.9258141,40.6369004
22.9177192,40.6377222
22.9196839,40.6373604
22.9024655,40.6410769
22.9515994,40.6218234
22.9518252,40.621113
22.946965,40.5935186
22.9481515,40.5929848
22.9480686,40.5928013
22.9549292,40.6303104
22.9322808,40.6386027
22.9349506,40.6354931
22.9358257,40.6402772
22.9529654,40.6239626
22.9530646,40.6233031
22.9534746,40.6221611
22.9537067,40.6214921
22.9545795,40.6181408
22.9546141,40.6177961
22.95466,40.6172129
22.9546027,40.6167937
22.9540479,40.6123623
22.9536903,40.6108066
22.9534404,40.6099105
22.9533627,40.6094588
22.953361,40.6092072
22.9533833,40.6082526
22.9530549,40.6062565
22.9499852,40.6020571
22.9499394,40.6018664
22.9496516,40.6011729
22.949765,40.6001298
22.950648,40.5980972
22.9505053,40.5967599
22.9588429,40.5905532
22.9581475,40.591285
22.9575314,40.5920187
22.9563998,40.5935263
22.9561504,40.5942851
22.9561616,40.594542
22.9560789,40.5969674
22.956036,40.5971631
22.9536855,40.6010502
22.9545325,40.5899875
22.9539638,40.5933065
22.9537322,40.5947252
22.9536199,40.5954131
22.9531211,40.5962507
22.9504039,40.6028234
22.9502935,40.6032852
22.9505197,40.5984139
22.9513255,40.5986366
22.9519218,40.598807
22.9545691,40.5995493
22.959388,40.6008407
22.9600473,40.6007785
22.9698229,40.6037165
22.970986,40.6039969
22.9715679,40.6041103
22.9714448,40.5955993
22.9715777,40.5959313
22.9716204,40.5961359
22.9716148,40.5965598
22.9715072,40.596872
22.9681943,40.6054129
22.968025,40.6057052
22.9649846,40.6098583
22.9643663,40.6113969
22.9631239,40.6143622
22.95115,40.6070339
22.9526311,40.6069044
22.9561054,40.6069682
22.9569015,40.606999
22.9576852,40.6070295
22.9612038,40.6071491
22.9673856,40.6085863
22.9696346,40.6090903
22.9719472,40.6093225
22.9756894,40.6077964
22.9514154,40.5938478
22.9502524,40.5955107
22.9492639,40.594082
22.9491037,40.5938552
22.9501324,40.5929368
22.9599588,40.589379
22.9570697,40.5951923
22.9648366,40.5897445
22.921407,40.640284
22.9156292,40.6417586
22.9112841,40.64313
22.9107111,40.6433227
22.9103531,40.6435525
22.9099776,40.6439656
22.9097424,40.6443355
22.9086982,40.6457632
22.9081945,40.646327
22.9076843,40.6467478
22.9068491,40.6472481
22.9054561,40.6479721
22.9039836,40.6487708
22.9030529,40.6492938
22.902786,40.649479
22.9025415,40.6497757
22.9878777,40.6145042
22.9788005,40.6266634
22.9448927,40.6306964
22.9473756,40.6313894
22.9533452,40.6311394
22.9566421,40.6293644
22.9601036,40.6261481
22.9621547,40.6235718
22.9635657,40.6275362
22.955791,40.6211808
22.9664189,40.6153044
22.9674921,40.6132071
22.9639417,40.6057693
22.9577925,40.6142111
22.9583165,40.6045625
22.9599346,40.5988532
22.9545171,40.6093729
22.9689419,40.6068875
22.9740073,40.6047418
22.9636048,40.6092144
22.970969,40.6061298
22.9459604,40.6300102
22.9426769,40.6319542
22.9395871,40.6425236
22.9546581,40.6351417
22.9563361,40.6343434
22.9647457,40.6257808
22.9666428,40.6229768
22.9672602,40.6220504
22.9657826,40.6204183
22.9689627,40.6256131
22.9601949,40.5978945
22.9600314,40.59735
